Country,Type,Value,ISO-code
Malta,Fertility,12,MLT
Marshall Islands,Fertility,40,MHL
Mauritania,Fertility,46,MRT
Mauritius,Fertility,14,MUS
Mexico,Fertility,21,MEX
Micronesia,Fertility,31,FSM
Moldova,Fertility,13,MDA
Mongolia,Fertility,29,MNG
Montenegro,Fertility,17,MNE
Morocco,Fertility,31,MAR
Mozambique,Fertility,49,MOZ
Myanmar,Fertility,22,MMR
Namibia,Fertility,34,NAM
Nepal,Fertility,19,NPL
Netherlands,Fertility,16,NLD
New Zealand,Fertility,17,NZL
Nicaragua,Fertility,24,NIC
Niger,Fertility,53,NER
Nigeria,Fertility,54,NGA
North Macedonia,Fertility,15,MKD
Norway,Fertility,16,NOR
Oman,Fertility,29,OMN
Pakistan,Fertility,35,PAK
Palau,Fertility,22,PLW
Palestine,Fertility,,PSE
Panama,Fertility,25,PAN
Papua New Guinea,Fertility,36,PNG
Paraguay,Fertility,24,PRY
Peru,Fertility,23,PER
Philippines,Fertility,26,PHL
Poland,Fertility,15,POL
Portugal,Fertility,14,PRT
Republic of the Congo,Fertility,44,COG
Romania,Fertility,18,ROU
Russia,Fertility,182,RUS
Rwanda,Fertility,40,RWA
Saint Kitts and Nevis,Fertility,,KNA
Saint Lucia,Fertility,,LCA
Saint Vincent and the Grenadines,Fertility,,VCT
Samoa,Fertility,39,WSM
Sao Tome and Principe,Fertility,43,STP
Saudi Arabia,Fertility,23,SAU
Senegal,Fertility,46,SEN
Serbia,Fertility,15,SRB
Seychelles,Fertility,24,SYC
Sierra Leone,Fertility,43,SLE
Singapore,Fertility,11,SGP
Slovakia,Fertility,,SVK
Slovenia,Fertility,16,SVN
Solomon Islands,Fertility,44,SLB
Somalia,Fertility,61,SOM
South Africa,Fertility,24,ZAF
South Sudan,Fertility,47,SSD
Spain,Fertility,13,ESP
Sri Lanka,Fertility,22,LKA
Sudan,Fertility,44,SDN
Suriname,Fertility,24,SUR
Sweden,Fertility,18,SWE
Syria,Fertility,28,SYR
Tajikistan,Fertility,36,TJK
Tanzania,Fertility,49,TZA
Thailand,Fertility,15,THA
The Bahamas,Fertility,18,BHS
The Gambia,Fertility,52,GMB
Togo,Fertility,43,TGO
Tonga,Fertility,36,TON
Trinidad and Tobago,Fertility,17,TTO
Tunisia,Fertility,22,TUN
Turkey,Fertility,21,TUR
Turkmenistan,Fertility,28,TKM
Uganda,Fertility,50,UGA
Ukraine,Fertility,13,UKR
United Arab Emirates,Fertility,14,ARE
United Kingdom,Fertility,17,GBR
United States,Fertility,17,USA
